Team,Total Matches,Wins,Win %,Goals scored,Goals per match
Liberia,247,68,27.53,220,0.89
Lithuania,378,104,27.51,395,1.04
Tanzania,535,147,27.48,601,1.12
Mauritius,250,68,27.2,310,1.24
Lebanon,276,75,27.17,316,1.14
Namibia,232,63,27.16,238,1.03
Palestine,188,51,27.13,257,1.37
Afghanistan,111,30,27.03,114,1.03
Botswana,281,75,26.69,229,0.81
Albania,342,90,26.32,318,0.93
Armenia,219,57,26.03,227,1.04
Finland,756,196,25.93,892,1.18
Chinese Taipei,149,38,25.5,192,1.29
Northern Ireland,654,166,25.38,680,1.04
Estonia,488,120,24.59,487,1
Venezuela,385,93,24.16,391,1.02
Gambia,216,52,24.07,200,0.93
Bangladesh,213,51,23.94,185,0.87
Kazakhstan,207,49,23.67,214,1.03
Niger,209,49,23.44,193,0.92
Dominica,184,43,23.37,213,1.16
Benin,262,60,22.9,269,1.03
Equatorial Guinea,132,30,22.73,110,0.83
Bolivia,464,101,21.77,476,1.03
Nepal,182,39,21.43,149,0.82
Cambodia,225,48,21.33,252,1.12
Chad,118,25,21.19,106,0.9
Pakistan,190,38,20,178,0.94
Zanzibar,205,41,20,187,0.91
Yemen,226,45,19.91,215,0.95
Sri Lanka,201,40,19.9,200,1
Eswatini,232,46,19.83,191,0.82
Cyprus,373,71,19.03,325,0.87
Laos,163,31,19.02,169,1.04
Puerto Rico,121,23,19.01,121,1
Azerbaijan,255,48,18.82,185,0.73
Moldova,245,45,18.37,193,0.79
Faroe Islands,235,43,18.3,194,0.83
Mauritania,215,39,18.14,158,0.73
Lesotho,250,45,18,203,0.81
Nicaragua,159,28,17.61,144,0.91
Aruba,122,21,17.21,154,1.26
Macau,128,21,16.41,107,0.84
Malta,408,51,12.5,257,0.63
Seychelles,113,13,11.5,76,0.67
Somalia,107,10,9.35,56,0.52
Luxembourg,413,38,9.2,254,0.62
Liechtenstein,207,17,8.21,93,0.45
Andorra,175,6,3.43,48,0.27
San Marino,172,1,0.58,24,0.14
